0.3555,0.4976,-0.1822
0.4489,0.5683,-0.1263
0.5617,0.7175,0.1137
0.5583,0.7125,0.1103
0.1165,0.2162,-0.4156
0.4557,0.5916,-0.0815
0.5843,0.8514,0.1076
0.4881,0.6948,0.0415
0.2340,0.3616,-0.3091
0.1813,0.2352,-0.3976
0.4207,0.6344,-0.1331
0.5703,0.9157,0.1662
0.4702,0.7020,0.0073
0.4654,0.7081,-0.0297
0.3876,0.6210,-0.1264
0.3423,0.5646,-0.1169
0.1767,0.2783,-0.4033
0.5119,0.7778,0.0928
0.4324,0.6700,-0.0521
0.4253,0.6424,-0.0808
0.4493,0.7141,0.0542
0.1691,0.3712,-0.3037
0.5253,0.8035,0.1341
0.2897,0.4297,-0.2847
0.4797,0.8249,0.1095
0.5721,0.8172,0.1777
0.1255,0.3951,-0.3234
0.2584,0.5613,-0.1091
0.3994,0.7426,-0.0422
0.1221,0.2814,-0.3945
0.2245,0.4636,-0.1991
0.2751,0.4365,-0.2950
0.1474,0.3442,-0.3903
0.2558,0.4902,-0.2191
0.2641,0.5049,-0.1660
0.2412,0.4728,-0.2091
0.3481,0.6719,-0.0436
0.4553,0.8560,0.0925
0.3500,0.6996,-0.0491
0.5490,0.8906,0.1628
0.2068,0.4745,-0.2105
0.3236,0.7061,-0.0498
0.2996,0.6292,-0.1153
0.2110,0.6158,-0.1507
0.2316,0.6047,-0.1460
0.5278,0.8842,0.1442
0.4643,0.8799,0.0727
0.2455,0.6209,-0.1999
0.3008,0.6754,-0.1606
0.1704,0.4029,-0.3418
0.4693,0.8046,0.0043
0.4124,0.8691,0.0520
0.4191,0.7954,0.0959
0.2671,0.6458,-0.1214
0.1071,0.4255,-0.3209
0.2479,0.5356,-0.1553
0.1002,0.4586,-0.3177
0.4040,0.8613,0.0425
0.2232,0.6878,-0.1150
0.2630,0.6943,-0.0824
0.5105,0.9576,0.2115
0.2919,0.7682,0.0402
0.1656,0.5578,-0.2356
0.1962,0.5901,-0.1961
0.1667,0.5275,-0.2204
0.1352,0.5727,-0.2210
0.4392,0.9653,0.2283
0.1699,0.5759,-0.2300
0.1754,0.5926,-0.2249
0.2599,0.7900,0.0506
-0.0124,0.4075,-0.3861
0.3699,0.8773,0.0476
0.2329,0.6596,-0.0922
0.1037,0.5505,-0.2889
0.2510,0.8235,-0.0119
0.0955,0.5959,-0.1930
0.0372,0.4421,-0.3243
0.4372,0.9559,0.1568
0.0325,0.4802,-0.3150
0.0131,0.4250,-0.3596
-0.0222,0.4179,-0.3805
0.0585,0.5331,-0.2437
0.4037,1.0057,0.1780
0.1268,0.6652,-0.1603
0.3008,0.8214,0.0297
0.3212,0.8578,0.0388
0.2015,0.8161,-0.0467
0.2336,0.7492,-0.0673
0.0526,0.6065,-0.2515
0.2728,0.8745,0.0944
0.3191,0.8880,0.1163
0.1010,0.6038,-0.1616
0.1785,0.8078,0.0166
0.3494,1.0554,0.2104
-0.0912,0.4298,-0.3864
0.1529,0.7450,-0.0455
0.2899,0.8783,0.0339
0.2508,0.8612,0.0484
0.0166,0.5268,-0.2197
-0.0849,0.4480,-0.3421
0.1694,0.8227,0.0351
-0.0055,0.5602,-0.2687
0.1243,0.7663,-0.1024
0.0558,0.6093,-0.2186
0.0276,0.5279,-0.2349
0.2747,1.0380,0.2366
-0.1097,0.4409,-0.3543
0.1374,0.8717,-0.0358
0.3229,1.1148,0.2184
0.1500,0.8327,-0.0031
-0.0789,0.4685,-0.3654
0.3115,1.0135,0.2050
0.3774,1.0310,0.2159
0.0027,0.6069,-0.3171
-0.1112,0.4721,-0.2943
0.3081,0.9912,0.1835
0.1252,0.8472,-0.0043
0.1698,0.8361,0.0164
-0.0980,0.5468,-0.2966
0.2626,1.0506,0.1770
0.0005,0.6655,-0.1672
0.0211,0.7174,-0.0989
0.1412,0.8177,0.0658
0.0447,0.7434,-0.0395
-0.0766,0.5796,-0.2100
-0.1395,0.5289,-0.2219
0.0885,0.7845,0.0077
0.0134,0.7273,-0.0435
-0.0584,0.6008,-0.1845
0.0849,0.7434,-0.1029
-0.1456,0.5573,-0.2756
-0.0375,0.6355,-0.1654
0.1703,0.9883,0.2232
0.0946,0.8544,0.1175
0.1916,1.0360,0.2097
-0.1666,0.4854,-0.3469
0.1033,0.8897,0.1555
-0.1924,0.5850,-0.2450
0.0077,0.7662,0.0914
0.1135,0.9410,0.1309
0.1311,0.8888,0.1289
0.0430,0.7765,-0.0125
0.2575,1.0860,0.3441
-0.1582,0.6436,-0.1391
-0.0755,0.7154,-0.1005
-0.1847,0.5189,-0.2136
0.1487,0.9691,0.2350
-0.1021,0.7048,-0.1489
0.2172,1.1089,0.3015
0.2019,1.1519,0.2675
-0.2242,0.5877,-0.1350
-0.1662,0.6030,-0.1637
-0.1233,0.6735,-0.1146
0.0484,0.8990,0.2029
-0.0387,0.7374,0.0491
-0.1424,0.7096,-0.1451
0.0266,0.7799,0.0968
0.1169,1.0530,0.2605
-0.1047,0.7480,-0.0256
0.1746,1.0233,0.2469
0.0184,0.8729,0.0830
-0.0825,0.7458,-0.0020
-0.1979,0.6416,-0.0869
-0.3422,0.4993,-0.2447
0.0023,0.8492,0.0523
-0.1458,0.7198,0.0076
-0.3148,0.5262,-0.2426
-0.2399,0.5749,-0.1509
0.0622,0.9791,0.2266
-0.2090,0.5587,-0.1713
0.1178,0.9983,0.2183
0.1052,1.0538,0.2978
0.0962,0.9905,0.2180
-0.2175,0.6731,-0.0644
